pair_key,sample_id_a,partition_a,image_path_a,sample_id_b,partition_b,image_path_b,phash_distance,dhash_distance,embedding_cosine,candidate_sources,priority,review_decision,reviewer,review_date,notes
f_r_403___n_l_80_,f_r_403_,test,data/suim_processed/images/test/f_r_403_.jpg,n_l_80_,train_val,data/suim_processed/images/train_val/n_l_80_.jpg,0,0,0.9999273419380188,perceptual_hash;segformer_embedding,0,pending,,,
n_l_26___w_r_32_,n_l_26_,test,data/suim_processed/images/test/n_l_26_.jpg,w_r_32_,train_val,data/suim_processed/images/train_val/w_r_32_.jpg,0,0,0.999907374382019,perceptual_hash;segformer_embedding,0,pending,,,
n_l_102___f_r_2033_,n_l_102_,test,data/suim_processed/images/test/n_l_102_.jpg,f_r_2033_,train_val,data/suim_processed/images/train_val/f_r_2033_.jpg,2,0,0.9997119307518005,perceptual_hash;segformer_embedding,0,pending,,,
n_l_79___f_r_615_,n_l_79_,test,data/suim_processed/images/test/n_l_79_.jpg,f_r_615_,train_val,data/suim_processed/images/train_val/f_r_615_.jpg,0,0,0.9995073676109314,perceptual_hash;segformer_embedding,0,pending,,,
n_l_100___f_r_953_,n_l_100_,test,data/suim_processed/images/test/n_l_100_.jpg,f_r_953_,train_val,data/suim_processed/images/train_val/f_r_953_.jpg,0,0,0.9985658526420593,perceptual_hash;segformer_embedding,0,pending,,,
f_r_1892___f_r_1827_,f_r_1892_,test,data/suim_processed/images/test/f_r_1892_.jpg,f_r_1827_,train_val,data/suim_processed/images/train_val/f_r_1827_.jpg,0,1,0.9954041242599487,perceptual_hash;segformer_embedding,0,pending,,,
f_r_1276___n_l_94_,f_r_1276_,test,data/suim_processed/images/test/f_r_1276_.jpg,n_l_94_,train_val,data/suim_processed/images/train_val/n_l_94_.jpg,4,7,,perceptual_hash,0,pending,,,
f_r_214___f_r_1663_,f_r_214_,test,data/suim_processed/images/test/f_r_214_.jpg,f_r_1663_,train_val,data/suim_processed/images/train_val/f_r_1663_.jpg,30,4,,perceptual_hash,0,pending,,,
n_l_69___n_l_98_,n_l_69_,train_val,data/suim_processed/images/train_val/n_l_69_.jpg,n_l_98_,train_val,data/suim_processed/images/train_val/n_l_98_.jpg,0,0,0.9999538064002991,perceptual_hash;segformer_embedding,1,pending,,,
d_r_87___n_l_42_,d_r_87_,train_val,data/suim_processed/images/train_val/d_r_87_.jpg,n_l_42_,train_val,data/suim_processed/images/train_val/n_l_42_.jpg,0,0,0.9999305009841919,perceptual_hash;segformer_embedding,1,pending,,,
d_r_723___f_r_1525_,d_r_723_,train_val,data/suim_processed/images/train_val/d_r_723_.jpg,f_r_1525_,train_val,data/suim_processed/images/train_val/f_r_1525_.jpg,0,0,0.9998837113380432,perceptual_hash;segformer_embedding,1,pending,,,
d_r_723___f_r_816_,d_r_723_,train_val,data/suim_processed/images/train_val/d_r_723_.jpg,f_r_816_,train_val,data/suim_processed/images/train_val/f_r_816_.jpg,0,0,0.9998837113380432,perceptual_hash;segformer_embedding,1,pending,,,
d_r_316___f_r_1196_,d_r_316_,train_val,data/suim_processed/images/train_val/d_r_316_.jpg,f_r_1196_,train_val,data/suim_processed/images/train_val/f_r_1196_.jpg,0,0,0.9998823404312134,perceptual_hash;segformer_embedding,1,pending,,,
d_r_316___f_r_1647_,d_r_316_,train_val,data/suim_processed/images/train_val/d_r_316_.jpg,f_r_1647_,train_val,data/suim_processed/images/train_val/f_r_1647_.jpg,0,0,0.9998823404312134,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1765___n_l_98_,f_r_1765_,train_val,data/suim_processed/images/train_val/f_r_1765_.jpg,n_l_98_,train_val,data/suim_processed/images/train_val/n_l_98_.jpg,0,0,0.9998787641525269,perceptual_hash;segformer_embedding,1,pending,,,
f_r_725___n_l_75_,f_r_725_,train_val,data/suim_processed/images/train_val/f_r_725_.jpg,n_l_75_,train_val,data/suim_processed/images/train_val/n_l_75_.jpg,0,1,0.9998226761817932,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1525___n_l_13_,f_r_1525_,train_val,data/suim_processed/images/train_val/f_r_1525_.jpg,n_l_13_,train_val,data/suim_processed/images/train_val/n_l_13_.jpg,0,0,0.9997522234916687,perceptual_hash;segformer_embedding,1,pending,,,
f_r_816___n_l_13_,f_r_816_,train_val,data/suim_processed/images/train_val/f_r_816_.jpg,n_l_13_,train_val,data/suim_processed/images/train_val/n_l_13_.jpg,0,0,0.9997522234916687,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1765___n_l_69_,f_r_1765_,train_val,data/suim_processed/images/train_val/f_r_1765_.jpg,n_l_69_,train_val,data/suim_processed/images/train_val/n_l_69_.jpg,0,0,0.9997453093528748,perceptual_hash;segformer_embedding,1,pending,,,
d_r_185___n_l_74_,d_r_185_,train_val,data/suim_processed/images/train_val/d_r_185_.jpg,n_l_74_,train_val,data/suim_processed/images/train_val/n_l_74_.jpg,0,0,0.9997227787971497,perceptual_hash;segformer_embedding,1,pending,,,
d_r_723___n_l_13_,d_r_723_,train_val,data/suim_processed/images/train_val/d_r_723_.jpg,n_l_13_,train_val,data/suim_processed/images/train_val/n_l_13_.jpg,0,0,0.9997226595878601,perceptual_hash;segformer_embedding,1,pending,,,
f_r_2005___n_l_41_,f_r_2005_,train_val,data/suim_processed/images/train_val/f_r_2005_.jpg,n_l_41_,train_val,data/suim_processed/images/train_val/n_l_41_.jpg,0,0,0.9997120499610901,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1856___n_l_72_,f_r_1856_,train_val,data/suim_processed/images/train_val/f_r_1856_.jpg,n_l_72_,train_val,data/suim_processed/images/train_val/n_l_72_.jpg,0,0,0.9997045397758484,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1305___n_l_56_,f_r_1305_,train_val,data/suim_processed/images/train_val/f_r_1305_.jpg,n_l_56_,train_val,data/suim_processed/images/train_val/n_l_56_.jpg,0,0,0.9996904134750366,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1649___n_l_11_,f_r_1649_,train_val,data/suim_processed/images/train_val/f_r_1649_.jpg,n_l_11_,train_val,data/suim_processed/images/train_val/n_l_11_.jpg,0,0,0.9996903538703918,perceptual_hash;segformer_embedding,1,pending,,,
d_r_105___w_r_9_,d_r_105_,train_val,data/suim_processed/images/train_val/d_r_105_.jpg,w_r_9_,train_val,data/suim_processed/images/train_val/w_r_9_.jpg,0,0,0.999672532081604,perceptual_hash;segformer_embedding,1,pending,,,
f_r_870___n_l_6_,f_r_870_,train_val,data/suim_processed/images/train_val/f_r_870_.jpg,n_l_6_,train_val,data/suim_processed/images/train_val/n_l_6_.jpg,0,0,0.9996525049209595,perceptual_hash;segformer_embedding,1,pending,,,
f_r_914___n_l_112_,f_r_914_,train_val,data/suim_processed/images/train_val/f_r_914_.jpg,n_l_112_,train_val,data/suim_processed/images/train_val/n_l_112_.jpg,0,0,0.9996482729911804,perceptual_hash;segformer_embedding,1,pending,,,
d_r_385___w_r_8_,d_r_385_,train_val,data/suim_processed/images/train_val/d_r_385_.jpg,w_r_8_,train_val,data/suim_processed/images/train_val/w_r_8_.jpg,0,0,0.999640703201294,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1804___n_l_45_,f_r_1804_,train_val,data/suim_processed/images/train_val/f_r_1804_.jpg,n_l_45_,train_val,data/suim_processed/images/train_val/n_l_45_.jpg,0,1,0.999589204788208,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1583___n_l_89_,f_r_1583_,train_val,data/suim_processed/images/train_val/f_r_1583_.jpg,n_l_89_,train_val,data/suim_processed/images/train_val/n_l_89_.jpg,0,0,0.9995744824409485,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1198___n_l_73_,f_r_1198_,train_val,data/suim_processed/images/train_val/f_r_1198_.jpg,n_l_73_,train_val,data/suim_processed/images/train_val/n_l_73_.jpg,0,0,0.9995720386505127,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1417___n_l_110_,f_r_1417_,train_val,data/suim_processed/images/train_val/f_r_1417_.jpg,n_l_110_,train_val,data/suim_processed/images/train_val/n_l_110_.jpg,0,0,0.9995254278182983,perceptual_hash;segformer_embedding,1,pending,,,
f_r_210___n_l_57_,f_r_210_,train_val,data/suim_processed/images/train_val/f_r_210_.jpg,n_l_57_,train_val,data/suim_processed/images/train_val/n_l_57_.jpg,0,0,0.9993061423301697,perceptual_hash;segformer_embedding,1,pending,,,
w_r_41___w_r_44_,w_r_41_,train_val,data/suim_processed/images/train_val/w_r_41_.jpg,w_r_44_,train_val,data/suim_processed/images/train_val/w_r_44_.jpg,0,0,0.9992988705635071,perceptual_hash;segformer_embedding,1,pending,,,
f_r_2001___n_l_96_,f_r_2001_,train_val,data/suim_processed/images/train_val/f_r_2001_.jpg,n_l_96_,train_val,data/suim_processed/images/train_val/n_l_96_.jpg,0,0,0.9991769194602966,perceptual_hash;segformer_embedding,1,pending,,,
f_r_785___n_l_97_,f_r_785_,train_val,data/suim_processed/images/train_val/f_r_785_.jpg,n_l_97_,train_val,data/suim_processed/images/train_val/n_l_97_.jpg,0,0,0.9991258382797241,perceptual_hash;segformer_embedding,1,pending,,,
f_r_760___n_l_33_,f_r_760_,train_val,data/suim_processed/images/train_val/f_r_760_.jpg,n_l_33_,train_val,data/suim_processed/images/train_val/n_l_33_.jpg,0,0,0.9990131855010986,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1828___f_r_67_,f_r_1828_,train_val,data/suim_processed/images/train_val/f_r_1828_.jpg,f_r_67_,train_val,data/suim_processed/images/train_val/f_r_67_.jpg,0,0,0.9985766410827637,perceptual_hash;segformer_embedding,1,pending,,,
f_r_692___n_l_5_,f_r_692_,train_val,data/suim_processed/images/train_val/f_r_692_.jpg,n_l_5_,train_val,data/suim_processed/images/train_val/n_l_5_.jpg,0,0,0.9984038472175598,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1048___n_l_71_,f_r_1048_,train_val,data/suim_processed/images/train_val/f_r_1048_.jpg,n_l_71_,train_val,data/suim_processed/images/train_val/n_l_71_.jpg,0,1,0.9983353614807129,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1618___n_l_78_,f_r_1618_,train_val,data/suim_processed/images/train_val/f_r_1618_.jpg,n_l_78_,train_val,data/suim_processed/images/train_val/n_l_78_.jpg,0,0,0.998309314250946,perceptual_hash;segformer_embedding,1,pending,,,
f_r_2020___f_r_320_,f_r_2020_,train_val,data/suim_processed/images/train_val/f_r_2020_.jpg,f_r_320_,train_val,data/suim_processed/images/train_val/f_r_320_.jpg,0,0,0.9981997609138489,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1973___n_l_85_,f_r_1973_,train_val,data/suim_processed/images/train_val/f_r_1973_.jpg,n_l_85_,train_val,data/suim_processed/images/train_val/n_l_85_.jpg,0,0,0.9981361031532288,perceptual_hash;segformer_embedding,1,pending,,,
f_r_923___n_l_82_,f_r_923_,train_val,data/suim_processed/images/train_val/f_r_923_.jpg,n_l_82_,train_val,data/suim_processed/images/train_val/n_l_82_.jpg,2,3,0.9980834126472473,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1507___n_l_2_,f_r_1507_,train_val,data/suim_processed/images/train_val/f_r_1507_.jpg,n_l_2_,train_val,data/suim_processed/images/train_val/n_l_2_.jpg,0,0,0.9979775547981262,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1534___n_l_83_,f_r_1534_,train_val,data/suim_processed/images/train_val/f_r_1534_.jpg,n_l_83_,train_val,data/suim_processed/images/train_val/n_l_83_.jpg,0,0,0.9976223111152649,perceptual_hash;segformer_embedding,1,pending,,,
f_r_495___n_l_90_,f_r_495_,train_val,data/suim_processed/images/train_val/f_r_495_.jpg,n_l_90_,train_val,data/suim_processed/images/train_val/n_l_90_.jpg,0,0,0.997618556022644,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1908___n_l_68_,f_r_1908_,train_val,data/suim_processed/images/train_val/f_r_1908_.jpg,n_l_68_,train_val,data/suim_processed/images/train_val/n_l_68_.jpg,0,0,0.9974201321601868,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1840___n_l_103_,f_r_1840_,train_val,data/suim_processed/images/train_val/f_r_1840_.jpg,n_l_103_,train_val,data/suim_processed/images/train_val/n_l_103_.jpg,0,2,0.997290313243866,perceptual_hash;segformer_embedding,1,pending,,,
d_r_624___n_l_23_,d_r_624_,train_val,data/suim_processed/images/train_val/d_r_624_.jpg,n_l_23_,train_val,data/suim_processed/images/train_val/n_l_23_.jpg,0,0,0.9971829652786255,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1464___f_r_707_,f_r_1464_,train_val,data/suim_processed/images/train_val/f_r_1464_.jpg,f_r_707_,train_val,data/suim_processed/images/train_val/f_r_707_.jpg,0,1,0.9968627095222473,perceptual_hash;segformer_embedding,1,pending,,,
d_r_516___f_r_2004_,d_r_516_,train_val,data/suim_processed/images/train_val/d_r_516_.jpg,f_r_2004_,train_val,data/suim_processed/images/train_val/f_r_2004_.jpg,0,0,0.9966388940811157,perceptual_hash;segformer_embedding,1,pending,,,
f_r_103___n_l_22_,f_r_103_,train_val,data/suim_processed/images/train_val/f_r_103_.jpg,n_l_22_,train_val,data/suim_processed/images/train_val/n_l_22_.jpg,0,0,0.996330738067627,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1112___f_r_2074_,f_r_1112_,train_val,data/suim_processed/images/train_val/f_r_1112_.jpg,f_r_2074_,train_val,data/suim_processed/images/train_val/f_r_2074_.jpg,0,2,0.9962973594665527,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1971___f_r_564_,f_r_1971_,train_val,data/suim_processed/images/train_val/f_r_1971_.jpg,f_r_564_,train_val,data/suim_processed/images/train_val/f_r_564_.jpg,0,0,0.9958106875419617,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1221___f_r_381_,f_r_1221_,train_val,data/suim_processed/images/train_val/f_r_1221_.jpg,f_r_381_,train_val,data/suim_processed/images/train_val/f_r_381_.jpg,2,0,0.9954811930656433,perceptual_hash;segformer_embedding,1,pending,,,
f_r_1783___f_r_922_,f_r_1783_,train_val,data/suim_processed/images/train_val/f_r_1783_.jpg,f_r_922_,train_val,data/suim_processed/images/train_val/f_r_922_.jpg,0,0,,perceptual_hash,1,pending,,,
f_r_1041___f_r_63_,f_r_1041_,train_val,data/suim_processed/images/train_val/f_r_1041_.jpg,f_r_63_,train_val,data/suim_processed/images/train_val/f_r_63_.jpg,0,1,,perceptual_hash,1,pending,,,
f_r_1678___f_r_754_,f_r_1678_,train_val,data/suim_processed/images/train_val/f_r_1678_.jpg,f_r_754_,train_val,data/suim_processed/images/train_val/f_r_754_.jpg,0,1,,perceptual_hash,1,pending,,,
f_r_1908___n_l_105_,f_r_1908_,train_val,data/suim_processed/images/train_val/f_r_1908_.jpg,n_l_105_,train_val,data/suim_processed/images/train_val/n_l_105_.jpg,2,1,,perceptual_hash,1,pending,,,
n_l_105___n_l_68_,n_l_105_,train_val,data/suim_processed/images/train_val/n_l_105_.jpg,n_l_68_,train_val,data/suim_processed/images/train_val/n_l_68_.jpg,2,1,,perceptual_hash,1,pending,,,
d_r_319___d_r_656_,d_r_319_,train_val,data/suim_processed/images/train_val/d_r_319_.jpg,d_r_656_,train_val,data/suim_processed/images/train_val/d_r_656_.jpg,2,2,,perceptual_hash,1,pending,,,
f_r_1155___f_r_1271_,f_r_1155_,train_val,data/suim_processed/images/train_val/f_r_1155_.jpg,f_r_1271_,train_val,data/suim_processed/images/train_val/f_r_1271_.jpg,2,2,,perceptual_hash,1,pending,,,
d_r_198___d_r_542_,d_r_198_,train_val,data/suim_processed/images/train_val/d_r_198_.jpg,d_r_542_,train_val,data/suim_processed/images/train_val/d_r_542_.jpg,2,3,,perceptual_hash,1,pending,,,
f_r_180___f_r_632_,f_r_180_,train_val,data/suim_processed/images/train_val/f_r_180_.jpg,f_r_632_,train_val,data/suim_processed/images/train_val/f_r_632_.jpg,2,3,,perceptual_hash,1,pending,,,
f_r_1570___f_r_1879_,f_r_1570_,train_val,data/suim_processed/images/train_val/f_r_1570_.jpg,f_r_1879_,train_val,data/suim_processed/images/train_val/f_r_1879_.jpg,2,4,,perceptual_hash,1,pending,,,
f_r_30___f_r_540_,f_r_30_,train_val,data/suim_processed/images/train_val/f_r_30_.jpg,f_r_540_,train_val,data/suim_processed/images/train_val/f_r_540_.jpg,2,7,,perceptual_hash,1,pending,,,
f_r_1166___f_r_2058_,f_r_1166_,train_val,data/suim_processed/images/train_val/f_r_1166_.jpg,f_r_2058_,train_val,data/suim_processed/images/train_val/f_r_2058_.jpg,4,2,,perceptual_hash,1,pending,,,
f_r_1069___f_r_1812_,f_r_1069_,train_val,data/suim_processed/images/train_val/f_r_1069_.jpg,f_r_1812_,train_val,data/suim_processed/images/train_val/f_r_1812_.jpg,4,5,,perceptual_hash,1,pending,,,
d_r_112___d_r_759_,d_r_112_,train_val,data/suim_processed/images/train_val/d_r_112_.jpg,d_r_759_,train_val,data/suim_processed/images/train_val/d_r_759_.jpg,4,10,,perceptual_hash,1,pending,,,
d_r_303___d_r_776_,d_r_303_,train_val,data/suim_processed/images/train_val/d_r_303_.jpg,d_r_776_,train_val,data/suim_processed/images/train_val/d_r_776_.jpg,6,4,,perceptual_hash,1,pending,,,
