comparison,method,target_alpha,seed,metric,mean_improvement,ci95_low,ci95_high,iterations,cluster_unit,clusters
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,coverage_improvement,0.002307692307692311,0.002307692307692311,0.002307692307692311,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,risk_excess_reduction,0.00014499135835116268,-0.0008276731487075229,0.0009989838845310608,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,worst_condition_risk_excess_reduction,-0.0006057278497131822,-0.0023288549060378324,0.00010713966003593614,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,lowlight_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.05,,blur_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,coverage_improvement,0.006965226554267654,0.005847997892518443,0.007945468914646998,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,risk_excess_reduction,-0.0012304572828246037,-0.004008327547860214,0.0010627859499748853,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,worst_condition_risk_excess_reduction,-0.00011288938080662325,-0.003330286771632342,0.0031225869831173004,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,lowlight_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260722.0,blur_s3_risk_excess_reduction,-0.004064008847121404,-0.011077288966562139,0.0012750526333199033,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,coverage_improvement,0.006933614330874608,0.005943097997892521,0.007977344573234988,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,risk_excess_reduction,-0.0012345064680268204,-0.003962099661426546,0.0010390445957014205,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,worst_condition_risk_excess_reduction,-0.00011288938080662325,-0.0036219562640475832,0.002922882442203132,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,lowlight_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260723.0,blur_s3_risk_excess_reduction,-0.004064008847121404,-0.01198834752758059,0.0013286886409432182,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260724.0,coverage_improvement,0.006933614330874608,0.005921232876712331,0.007987355110642785,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260724.0,risk_excess_reduction,-0.0012345064680268204,-0.003913074844900072,0.0011115631765700176,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260724.0,worst_condition_risk_excess_reduction,-0.00011288938080662325,-0.003730330603158944,0.0030719818659995864,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260724.0,lowlight_s3_risk_excess_reduction,0.0,0.0,0.0,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.05,20260724.0,blur_s3_risk_excess_reduction,-0.004064008847121404,-0.011950395149513696,0.0012994442285000256,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.1,,coverage_improvement,0.03461538461538466,0.03461538461538466,0.03461538461538466,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.1,,risk_excess_reduction,-0.001311116297229732,-0.004164657860516203,0.0015352035531820446,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.1,,worst_condition_risk_excess_reduction,-0.007918469495862529,-0.03389975424251389,0.01652676248165508,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.1,,lowlight_s3_risk_excess_reduction,0.02723310419812512,-0.007471451861020135,0.06237643872920036,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.1,,blur_s3_risk_excess_reduction,0.008087608526020881,0.003367555948192578,0.01373432646742065,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,coverage_improvement,0.05899367755532139,0.043661485774499464,0.07335115911485773,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,risk_excess_reduction,-0.0018005850835567869,-0.00503832209780756,0.0010053655385755369,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,worst_condition_risk_excess_reduction,0.0013895928950286407,-0.0034737797756515523,0.006791188409312332,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,lowlight_s3_risk_excess_reduction,0.010134779759688196,0.005906075166695102,0.014361775754500988,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260722.0,blur_s3_risk_excess_reduction,-0.006501100763372263,-0.012005415102985913,-0.0013862878653049882,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260723.0,coverage_improvement,0.04517913593256059,0.03201172286617493,0.05893572181243414,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260723.0,risk_excess_reduction,-0.0006545835938996309,-0.003407074820230644,0.002163066829898363,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260723.0,worst_condition_risk_excess_reduction,0.0033657598400517203,-0.0019077548161065302,0.00833659676587957,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260723.0,lowlight_s3_risk_excess_reduction,0.011881370934632237,0.007006957789651271,0.017143396841166975,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260723.0,blur_s3_risk_excess_reduction,-0.004239944638369433,-0.008986083011437237,0.00042864587617197147,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260724.0,coverage_improvement,0.04776606954689148,0.033875131717597484,0.06127555321390938,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260724.0,risk_excess_reduction,-0.0008344735163531104,-0.0036599640146491286,0.0018410080697545505,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260724.0,worst_condition_risk_excess_reduction,0.0032175576590492564,-0.002220433767895771,0.009023445282791536,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260724.0,lowlight_s3_risk_excess_reduction,0.011881370934632237,0.006867873958448748,0.017173037850000284,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.1,20260724.0,blur_s3_risk_excess_reduction,-0.004333766725036708,-0.009251520371161523,0.00029042080499593314,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.15,,coverage_improvement,0.005384615384615432,0.005384615384615432,0.005384615384615432,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.15,,risk_excess_reduction,-0.0012483384596508474,-0.002759663035712281,0.0004638797472993412,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.15,,worst_condition_risk_excess_reduction,0.02453931806659767,0.010872713445663578,0.038995778597567025,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.15,,lowlight_s3_risk_excess_reduction,0.06358171029873344,0.04509999828130949,0.08128592035563935,1000,sample_id_with_all_13_conditions,146
oracle_condition_crc - global_crc,oracle_condition_crc,0.15,,blur_s3_risk_excess_reduction,0.027424386749372975,0.021034641010155238,0.034450722358131264,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260722.0,coverage_improvement,0.02809799789251842,0.018126317175974672,0.038678345626975745,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260722.0,risk_excess_reduction,-0.004909225274717873,-0.00726827064662327,-0.0026435770642068853,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260722.0,worst_condition_risk_excess_reduction,-0.0015050347563324254,-0.005126135994423873,0.0021981026605479275,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260722.0,lowlight_s3_risk_excess_reduction,0.011741005466793056,0.009363759877023519,0.013953222758358332,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260722.0,blur_s3_risk_excess_reduction,-0.008698132343353841,-0.012699466052605477,-0.0049631800879256375,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260723.0,coverage_improvement,0.021791359325605997,0.01181138040042157,0.03169836670179147,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260723.0,risk_excess_reduction,-0.003751950847942208,-0.00597391829775806,-0.00174901690173007,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260723.0,worst_condition_risk_excess_reduction,-0.00028761623990211687,-0.0037905596800107424,0.0032419588562844744,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260723.0,lowlight_s3_risk_excess_reduction,0.011741005466793056,0.009452122930621943,0.014128078743448758,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260723.0,blur_s3_risk_excess_reduction,-0.006733546674894731,-0.010282880112629143,-0.0033775269993462295,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260724.0,coverage_improvement,0.02437829293993683,0.014658587987355138,0.034669125395152864,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260724.0,risk_excess_reduction,-0.00411913498118835,-0.0061487916720526425,-0.0020291853046705438,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260724.0,worst_condition_risk_excess_reduction,-0.000480668829231322,-0.004007531842366355,0.0029147243171243876,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260724.0,lowlight_s3_risk_excess_reduction,0.011741005466793056,0.009436265042594554,0.01422708556271872,1000,sample_id_with_all_13_conditions,146
quality_group_crc_global_fallback - global_crc,quality_group_crc_global_fallback,0.15,20260724.0,blur_s3_risk_excess_reduction,-0.007207112216311132,-0.010456240848097504,-0.003909592534596227,1000,sample_id_with_all_13_conditions,146
