condition,method,region,boundary_radius,pixels,error_rate,nll,brier_score,ece,error_auroc,aurc,oracle_aurc,eaurc,mean_wrong_confidence
clean,raw,boundary,3,2127005,0.44020723975731135,1.6121978090231335,0.6702963410736281,0.23196503254088802,0.5704418535568776,0.40185073956868206,0.11542184245401348,0.28642889711466857,0.7663710713386536
clean,raw,interior,3,19401571,0.13693061247462898,0.6628416110285605,0.2278804498131878,0.07521506452748827,0.7854797229418436,0.05033837363113901,0.00983485183403022,0.04050352179710879,0.8239368796348572
clean,clean_global,boundary,3,2127005,0.44020723975731135,1.1938147339583711,0.6061861319525577,0.08886037172461875,0.570404623234274,0.40156675260206753,0.11542184245401348,0.28614491014805404,0.6118034720420837
clean,clean_global,interior,3,19401571,0.13693061247462898,0.4976362936183106,0.22171870208989777,0.03209682772739484,0.7832260427136595,0.05053180618108203,0.00983485183403022,0.04069695434705181,0.6876082420349121
color_s1,raw,boundary,3,2127005,0.4410342241790687,1.6078811512182036,0.6697291675787962,0.23076521630220487,0.5773688853294836,0.3966677372343069,0.1159022605716,0.2807654766627069,0.7621585726737976
color_s1,raw,interior,3,19401571,0.13913115592546604,0.6510219482113716,0.2287045816901889,0.07366424340347928,0.7961821995253432,0.04820292240211958,0.010161711996031551,0.03804121040608803,0.8126630187034607
color_s1,clean_global,boundary,3,2127005,0.4410342241790687,1.1992660087188323,0.6053764478434759,0.08266693572473224,0.5777857655478815,0.39613974016393777,0.1159022605716,0.2802374795923378,0.6039807796478271
color_s1,clean_global,interior,3,19401571,0.13913115592546604,0.4985326558735888,0.222993658646573,0.030576192843314923,0.7932101037422149,0.04853179504103549,0.010161711996031551,0.03837008304500394,0.673732578754425
color_s2,raw,boundary,3,2127005,0.4444691009188977,1.6117509916378898,0.6724997023947699,0.23028610599026383,0.5844343413282365,0.3920201701608685,0.1179107905706204,0.27410937959024806,0.756213903427124
color_s2,raw,interior,3,19401571,0.14581185204022912,0.6497568994380661,0.23589855010967925,0.07416282777624622,0.8114147324762169,0.046775067602974986,0.011188557689332971,0.03558650991364201,0.7993108034133911
color_s2,clean_global,boundary,3,2127005,0.4444691009188977,1.2124768316027112,0.6071350247876416,0.07820606231905226,0.5858359475866539,0.39106331438768005,0.1179107905706204,0.2731525238170597,0.5932658910751343
color_s2,clean_global,interior,3,19401571,0.14581185204022912,0.5097213527515375,0.2294158626864546,0.027525366831674593,0.80831114807264,0.04713622336333118,0.011188557689332971,0.03594766567399821,0.6530610918998718
color_s3,raw,boundary,3,2127005,0.4520492429495934,1.6237188531012503,0.6797401006454792,0.2311542453136191,0.59104163747648,0.39141999505356984,0.12241858522674423,0.26900140982682563,0.7477225661277771
color_s3,raw,interior,3,19401571,0.15771980526731572,0.6691907336395594,0.2516822316862897,0.07742680870010069,0.8174220715825775,0.0497012026290555,0.013148687141175765,0.03655251548787974,0.7888697981834412
color_s3,clean_global,boundary,3,2127005,0.4520492429495934,1.2331348208807689,0.6126020613308091,0.0731538892012977,0.5941091747784024,0.38987604582343377,0.12241858522674423,0.2674574605966895,0.5797156691551208
color_s3,clean_global,interior,3,19401571,0.15771980526731572,0.5357729757908521,0.24329137525126188,0.03103893065441387,0.813894108166708,0.05031364929791432,0.013148687141175765,0.037164962156738555,0.6344078779220581
turbidity_s1,raw,boundary,3,2127005,0.4400915841758717,1.612140474333335,0.6698928173983195,0.2315342743321473,0.5723770700390038,0.3998877935805848,0.11535475234676432,0.2845330412338205,0.7654148936271667
turbidity_s1,raw,interior,3,19401571,0.1380324304665844,0.6625793024135134,0.22849324359722598,0.07504928613454047,0.7912597355009525,0.04934311641420597,0.009997809364121646,0.03934530705008432,0.8189089894294739
turbidity_s1,clean_global,boundary,3,2127005,0.4400915841758717,1.1955063033540707,0.6057928527473195,0.08711569785938947,0.5723382524403424,0.3998077761131962,0.11535475234676432,0.2844530237664319,0.6099581122398376
turbidity_s1,clean_global,interior,3,19401571,0.1380324304665844,0.4998442394175193,0.22231308151057716,0.030000122111464057,0.7882340846916605,0.049735901165549413,0.009997809364121646,0.03973809180142777,0.6814125776290894
turbidity_s2,raw,boundary,3,2127005,0.44063319080115,1.5864258205052408,0.6682353899614717,0.22915254060345092,0.5784414624673513,0.3941428455183691,0.1156691365045986,0.2784737090137705,0.7609231472015381
turbidity_s2,raw,interior,3,19401571,0.14154080615430575,0.6509230431246392,0.23198447565873015,0.07522538798436915,0.8001628902365507,0.04826809975873793,0.010526084771196294,0.037742014987541636,0.8105889558792114
turbidity_s2,clean_global,boundary,3,2127005,0.44063319080115,1.1911238675390985,0.6035586253286604,0.08082184224897601,0.5790036163400151,0.3936905798335305,0.1156691365045986,0.2780214433289319,0.6011343002319336
turbidity_s2,clean_global,interior,3,19401571,0.14154080615430575,0.502412628805291,0.225411907164309,0.02865898222509091,0.7967534924378532,0.048852898238807896,0.010526084771196294,0.0383268134676116,0.6675289869308472
turbidity_s3,raw,boundary,3,2127005,0.44583393080881334,1.6041139116019356,0.6723035639277705,0.22758093068363305,0.5862270476430509,0.3927179229137022,0.11871475788817944,0.2740031650255228,0.7517271637916565
turbidity_s3,raw,interior,3,19401571,0.15402371282201838,0.6832014829172854,0.2492173986677419,0.07917638709450717,0.8077791950256346,0.051353479448881474,0.012522378175898602,0.03883110127298287,0.7964019179344177
turbidity_s3,clean_global,boundary,3,2127005,0.44583393080881334,1.2155890656147081,0.6079297290049565,0.07334939167796198,0.5871252157995486,0.39205632619481967,0.11871475788817944,0.27334156830664025,0.5871236324310303
turbidity_s3,clean_global,interior,3,19401571,0.15402371282201838,0.537584344088038,0.2417235974892188,0.029912797983539966,0.8023213854021062,0.05249680833931833,0.012522378175898602,0.03997443016341973,0.6452834010124207
lowlight_s1,raw,boundary,3,2127005,0.4435899304421005,1.6080613277237241,0.6723913115580946,0.23093359233503274,0.5769342680063696,0.39945090728338173,0.11739468217910984,0.28205622510427186,0.7600434422492981
lowlight_s1,raw,interior,3,19401571,0.14339926390496935,0.6700556193039728,0.23478309658371221,0.07655914804693156,0.7970533109638009,0.05009327891482925,0.0108117285226034,0.039281550392225854,0.8106896281242371
lowlight_s1,clean_global,boundary,3,2127005,0.4435899304421005,1.2013997216009131,0.6075551894712283,0.08320864971088013,0.57693961768318,0.39916018957997196,0.11739468217910984,0.28176550740086215,0.6020756959915161
lowlight_s1,clean_global,interior,3,19401571,0.14339926390496935,0.5118822759410823,0.22821618555238388,0.02914145361891597,0.7935472176250296,0.050729513398106635,0.0108117285226034,0.03991778487550324,0.6697939038276672
lowlight_s2,raw,boundary,3,2127005,0.4586693496254123,1.6314202584737694,0.6894412919552669,0.2354065360160122,0.5833917342768628,0.4060056067528059,0.12644119452149702,0.2795644122313089,0.747805655002594
lowlight_s2,raw,interior,3,19401571,0.17871171360298607,0.7659580907778035,0.28635236347291154,0.09311432152259413,0.7912308707658896,0.06564835182293494,0.017015580073179732,0.04863277174975521,0.7929895520210266
lowlight_s2,clean_global,boundary,3,2127005,0.4586693496254123,1.2388889165384542,0.6206025604187284,0.07945110745246847,0.5853336634335745,0.4050701320769247,0.12644119452149702,0.2786289375554277,0.5808792114257812
lowlight_s2,clean_global,interior,3,19401571,0.17871171360298607,0.5991592422142,0.27493929103891895,0.029734922415326853,0.7855903931034492,0.06716641993603756,0.017015580073179732,0.05015083986285783,0.6401830315589905
lowlight_s3,raw,boundary,3,2127005,0.5360913585064445,2.0245396944221454,0.8028363403735534,0.2942292162292579,0.5988736002904895,0.467437026434389,0.1797781433025093,0.2876588831318797,0.7282211780548096
lowlight_s3,raw,interior,3,19401571,0.32715433198682725,1.3276941698754703,0.5027973246180683,0.17138554598740546,0.7498059729648382,0.16573304458517102,0.060546438795223624,0.1051866057899474,0.7442022562026978
lowlight_s3,clean_global,boundary,3,2127005,0.5360913585064445,1.4932261009318266,0.704220571075879,0.10778496619408752,0.6033416145328165,0.4661326114205117,0.1797781433025093,0.2863544681180024,0.5442418456077576
lowlight_s3,clean_global,interior,3,19401571,0.32715433198682725,1.0050188864216203,0.46063559669343274,0.018133492762551204,0.7517836246783212,0.16528262056767803,0.060546438795223624,0.10473618177245442,0.5717687010765076
blur_s1,raw,boundary,3,2127005,0.44041880484531065,1.624533051333477,0.6707221819273168,0.23037709078838448,0.5707349212127371,0.40183801199395364,0.1155446300975062,0.28629338189644743,0.7643004655838013
blur_s1,raw,interior,3,19401571,0.1343662840498844,0.6618206480788978,0.22502945384068382,0.07202825558809922,0.7776129405687219,0.05091533303541817,0.009461034111293985,0.04145429892412418,0.8254981637001038
blur_s1,clean_global,boundary,3,2127005,0.44041880484531065,1.2089667161102113,0.6079945956506332,0.0879957533135092,0.5699525226762874,0.402419807243696,0.1155446300975062,0.2868751771461898,0.6062771081924438
blur_s1,clean_global,interior,3,19401571,0.1343662840498844,0.5002496193639422,0.2211323282226089,0.036689792092089515,0.7747123402458607,0.05121205321728775,0.009461034111293985,0.04175101910599377,0.6891414523124695
blur_s2,raw,boundary,3,2127005,0.4521620776631931,1.7075443091121671,0.6912219959998037,0.24382375462852773,0.5744164892030301,0.4103037578241031,0.12248647480742728,0.28781728301667586,0.76468825340271
blur_s2,raw,interior,3,19401571,0.13696870217365387,0.6597177727015637,0.22702323014767078,0.07120474081181763,0.776992642425316,0.05377747476365365,0.009840461770801676,0.04393701299285198,0.8175618052482605
blur_s2,clean_global,boundary,3,2127005,0.4521620776631931,1.2637805454441808,0.6228316442530107,0.09161516150448917,0.5739948087304191,0.4107580236139891,0.12248647480742728,0.2882715488065618,0.5992923378944397
blur_s2,clean_global,interior,3,19401571,0.13696870217365387,0.5092289610851616,0.2246577273384846,0.04106325838461386,0.7747007382919379,0.05379887928858823,0.009840461770801676,0.043958417517786556,0.6766907572746277
blur_s3,raw,boundary,3,2127005,0.4683270608202614,1.8708480424940233,0.724366472751592,0.265093112704264,0.5762234250389555,0.4226417084341249,0.1324550404060057,0.2901866680281192,0.769999086856842
blur_s3,raw,interior,3,19401571,0.1489392791954837,0.7082517977055827,0.24526612714442042,0.07801207106840541,0.7808443889835448,0.05817706228849304,0.011687184282479583,0.04648987800601345,0.8105430006980896
blur_s3,clean_global,boundary,3,2127005,0.4683270608202614,1.351201935791171,0.6475844950925714,0.100253868558482,0.5768946265212633,0.4230682317716986,0.1324550404060057,0.2906131913656929,0.5999302268028259
blur_s3,clean_global,interior,3,19401571,0.1489392791954837,0.543720488617262,0.24078026718654638,0.03591178284548766,0.7793797872467259,0.057944500165985194,0.011687184282479583,0.04625731588350561,0.6657577753067017
