method,seed,condition,coverage,selective_risk
global_crc,20260722,clean,0.22000000000000006,0.06510639935731888
global_crc,20260722,color_s1,0.22000000000000006,0.0662236362695694
global_crc,20260722,color_s2,0.22000000000000006,0.06993868201971054
global_crc,20260722,color_s3,0.22000000000000006,0.0749208927154541
global_crc,20260722,turbidity_s1,0.22000000000000006,0.06558164209127426
global_crc,20260722,turbidity_s2,0.22000000000000006,0.06648208200931549
global_crc,20260722,turbidity_s3,0.22000000000000006,0.07369440048933029
global_crc,20260722,lowlight_s1,0.22000000000000006,0.06706520169973373
global_crc,20260722,lowlight_s2,0.22000000000000006,0.0689653679728508
global_crc,20260722,lowlight_s3,0.22000000000000006,0.08157864958047867
global_crc,20260722,blur_s1,0.22000000000000006,0.0698440745472908
global_crc,20260722,blur_s2,0.22000000000000006,0.09238128364086151
global_crc,20260722,blur_s3,0.22000000000000006,0.10027981549501419
quality_group_crc_global_fallback,20260722,clean,0.19845401174168298,0.06176153942942619
quality_group_crc_global_fallback,20260722,color_s1,0.20432485322896282,0.06302843242883682
quality_group_crc_global_fallback,20260722,color_s2,0.22585127201565558,0.07078496366739273
quality_group_crc_global_fallback,20260722,color_s3,0.247573385518591,0.08001846075057983
quality_group_crc_global_fallback,20260722,turbidity_s1,0.20072407045009782,0.062490325421094894
quality_group_crc_global_fallback,20260722,turbidity_s2,0.20608610567514674,0.06431876122951508
quality_group_crc_global_fallback,20260722,turbidity_s3,0.21512720156555773,0.07343662530183792
quality_group_crc_global_fallback,20260722,lowlight_s1,0.19649706457925636,0.06252150237560272
quality_group_crc_global_fallback,20260722,lowlight_s2,0.17994129158512717,0.061828579753637314
quality_group_crc_global_fallback,20260722,lowlight_s3,0.17735812133072407,0.07573147118091583
quality_group_crc_global_fallback,20260722,blur_s1,0.19888454011741682,0.06686581671237946
quality_group_crc_global_fallback,20260722,blur_s2,0.19884540117416827,0.0884985402226448
quality_group_crc_global_fallback,20260722,blur_s3,0.19884540117416827,0.09589316695928574
global_crc,20260723,clean,0.22000000000000006,0.06510639935731888
global_crc,20260723,color_s1,0.22000000000000006,0.0662236362695694
global_crc,20260723,color_s2,0.22000000000000006,0.06993868201971054
global_crc,20260723,color_s3,0.22000000000000006,0.0749208927154541
global_crc,20260723,turbidity_s1,0.22000000000000006,0.06558164209127426
global_crc,20260723,turbidity_s2,0.22000000000000006,0.06648208200931549
global_crc,20260723,turbidity_s3,0.22000000000000006,0.07369440048933029
global_crc,20260723,lowlight_s1,0.22000000000000006,0.06706520169973373
global_crc,20260723,lowlight_s2,0.22000000000000006,0.0689653679728508
global_crc,20260723,lowlight_s3,0.22000000000000006,0.08157864958047867
global_crc,20260723,blur_s1,0.22000000000000006,0.0698440745472908
global_crc,20260723,blur_s2,0.22000000000000006,0.09238128364086151
global_crc,20260723,blur_s3,0.22000000000000006,0.10027981549501419
quality_group_crc_global_fallback,20260723,clean,0.1904109589041096,0.06050476059317589
quality_group_crc_global_fallback,20260723,color_s1,0.19733855185909982,0.06180769205093384
quality_group_crc_global_fallback,20260723,color_s2,0.2228962818003914,0.07020308822393417
quality_group_crc_global_fallback,20260723,color_s3,0.24737769080234834,0.08001846075057983
quality_group_crc_global_fallback,20260723,turbidity_s1,0.19287671232876713,0.061214473098516464
quality_group_crc_global_fallback,20260723,turbidity_s2,0.19876712328767124,0.06326299905776978
quality_group_crc_global_fallback,20260723,turbidity_s3,0.20945205479452056,0.07272417843341827
quality_group_crc_global_fallback,20260723,lowlight_s1,0.19129158512720157,0.06156988814473152
quality_group_crc_global_fallback,20260723,lowlight_s2,0.17990215264187864,0.061828579753637314
quality_group_crc_global_fallback,20260723,lowlight_s3,0.17735812133072407,0.07573147118091583
quality_group_crc_global_fallback,20260723,blur_s1,0.19125244618395307,0.06582305580377579
quality_group_crc_global_fallback,20260723,blur_s2,0.19123287671232878,0.08761470764875412
quality_group_crc_global_fallback,20260723,blur_s3,0.19136986301369865,0.094508595764637
global_crc,20260724,clean,0.22000000000000006,0.06510639935731888
global_crc,20260724,color_s1,0.22000000000000006,0.0662236362695694
global_crc,20260724,color_s2,0.22000000000000006,0.06993868201971054
global_crc,20260724,color_s3,0.22000000000000006,0.0749208927154541
global_crc,20260724,turbidity_s1,0.22000000000000006,0.06558164209127426
global_crc,20260724,turbidity_s2,0.22000000000000006,0.06648208200931549
global_crc,20260724,turbidity_s3,0.22000000000000006,0.07369440048933029
global_crc,20260724,lowlight_s1,0.22000000000000006,0.06706520169973373
global_crc,20260724,lowlight_s2,0.22000000000000006,0.0689653679728508
global_crc,20260724,lowlight_s3,0.22000000000000006,0.08157864958047867
global_crc,20260724,blur_s1,0.22000000000000006,0.0698440745472908
global_crc,20260724,blur_s2,0.22000000000000006,0.09238128364086151
global_crc,20260724,blur_s3,0.22000000000000006,0.10027981549501419
quality_group_crc_global_fallback,20260724,clean,0.19845401174168298,0.06176153942942619
quality_group_crc_global_fallback,20260724,color_s1,0.20377690802348336,0.06310784816741943
quality_group_crc_global_fallback,20260724,color_s2,0.22545988258317023,0.07065089046955109
quality_group_crc_global_fallback,20260724,color_s3,0.2474168297455969,0.08001846075057983
quality_group_crc_global_fallback,20260724,turbidity_s1,0.20072407045009782,0.062490325421094894
quality_group_crc_global_fallback,20260724,turbidity_s2,0.20608610567514674,0.06431876122951508
quality_group_crc_global_fallback,20260724,turbidity_s3,0.21489236790606653,0.07339759171009064
quality_group_crc_global_fallback,20260724,lowlight_s1,0.1964579256360078,0.06252150237560272
quality_group_crc_global_fallback,20260724,lowlight_s2,0.17994129158512717,0.061828579753637314
quality_group_crc_global_fallback,20260724,lowlight_s3,0.17735812133072407,0.07573147118091583
quality_group_crc_global_fallback,20260724,blur_s1,0.19888454011741682,0.06686581671237946
quality_group_crc_global_fallback,20260724,blur_s2,0.19884540117416827,0.0884985402226448
quality_group_crc_global_fallback,20260724,blur_s3,0.19872798434442265,0.09589316695928574
